year,EcGDP,EcGDP2,UsGDP,UsGDP2,"Ec - Population ages 40-44, female (% of female population)","Ec - Population ages 35-39, male (% of male population)","Ec - Population ages 35-39, female (% of female population)","Ec - Population ages 30-34, male (% of male population)","Ec - Population ages 30-34, female (% of female population)","Ec - Population ages 25-29, male (% of male population)","Ec - Population ages 25-29, female (% of female population)","Ec - Population ages 20-24, male (% of male population)","Ec - Population ages 20-24, female (% of female population)","Ec - Population ages 15-19, male (% of male population)","Ec - Population ages 15-19, female (% of female population)","Ec - Population ages 10-14, male (% of male population)","Ec - Population ages 10-14, female (% of female population)","Ec - Population ages 05-09, male (% of male population)","Ec - Population ages 05-09, female (% of female population)","US - Population ages 40-44, female (% of female population)","US - Population ages 35-39, male (% of male population)","US - Population ages 35-39, female (% of female population)","US - Population ages 30-34, male (% of male population)","US - Population ages 30-34, female (% of female population)","US - Population ages 25-29, male (% of male population)","US - Population ages 25-29, female (% of female population)","US - Population ages 20-24, male (% of male population)","US - Population ages 20-24, female (% of female population)","US - Population ages 15-19, male (% of male population)","US - Population ages 15-19, female (% of female population)","US - Population ages 10-14, male (% of male population)","US - Population ages 10-14, female (% of female population)","US - Population ages 05-09, male (% of male population)","US - Population ages 05-09, female (% of female population)"
1992,1688.505067,-73.52233288,25418.99078,46.18866894,4.732866278,6.06287439,6.13555074,7.106702743,7.132753402,8.407027893,8.372126883,9.707501566,9.623114508,10.72810485,10.59039058,11.65096236,11.40970361,12.71216774,12.36168804,7.260593157,8.403595259,8.084099654,8.948182663,8.421878693,8.504457709,7.784458238,7.657838387,6.984111036,7.217918141,6.622382399,7.259570767,6.663403291,7.591452384,6.983288664
1993,1727.754058,-72.90686437,26387.29373,47.94816542,4.942317106,6.083234691,6.157745013,7.158987957,7.184084756,8.459574255,8.427059745,9.690093097,9.610557245,10.63957973,10.49441145,11.58961092,11.32678451,12.61952991,12.26754856,7.339051741,8.50243944,8.171072398,8.888009553,8.315910188,8.264425898,7.574339009,7.450796855,6.844620519,7.169444876,6.5835542,7.308858607,6.718742341,7.640454338,7.032450124
1994,2026.112715,-68.22826354,27694.85342,50.3241229,5.127678142,6.102458707,6.177934115,7.214350078,7.239040211,8.503051744,8.473712395,9.661391773,9.58401169,10.55959446,10.40239786,11.52984939,11.2478107,12.51752256,12.16773966,7.42657345,8.576309349,8.22390619,8.807631241,8.200206364,8.001583276,7.357939552,7.275280779,6.726193181,7.164877537,6.573992562,7.360009029,6.779506925,7.670715262,7.062028117
1995,2132.906969,-66.55360898,28690.8757,52.13398797,5.262919664,6.13527835,6.21142487,7.269800005,7.294914522,8.533263925,8.507441162,9.622123233,9.54294765,10.49220986,10.31902926,11.46552328,11.1694453,12.40269602,12.05493204,7.529160276,8.622282911,8.238074315,8.690769164,8.067964274,7.741246326,7.153118579,7.139383546,6.629449691,7.188766139,6.589349618,7.408161944,6.836298424,7.677563621,7.069656397
1996,2155.517229,-66.19905455,29967.71272,54.45411951,5.354355611,6.170689704,6.246814028,7.315564652,7.342247501,8.539367164,8.518771415,9.561836345,9.483100378,10.43007358,10.24354431,11.41078259,11.10430827,12.30744396,11.95586949,7.618912709,8.602241442,8.197587987,8.474047683,7.867307829,7.541022905,6.988548923,7.077379094,6.590282414,7.18921195,6.609315132,7.457384594,6.882270632,7.713600786,7.110421361
1997,2356.370843,-63.04944296,31459.139,57.1641797,5.402263879,6.209473347,6.285644167,7.360717263,7.390151082,8.533952466,8.519670268,9.492122871,9.411051793,10.38183706,10.17738877,11.35398526,11.04088363,12.19720121,11.84157887,7.705538884,8.561523124,8.132931446,8.235443803,7.65003107,7.377654989,6.867553348,7.040667648,6.565563438,7.208160157,6.643378237,7.513382696,6.933124257,7.741011484,7.144931625
1998,2293.889735,-64.02921732,32853.67698,59.69818483,5.422881304,6.251775446,6.32836338,7.40304838,7.436291304,8.519432771,8.511287817,9.422175857,9.335198788,10.34633858,10.12113984,11.29458207,10.97789989,12.07479895,11.71447676,7.778540905,8.493334146,8.043478617,7.99441846,7.43061858,7.24386719,6.78291372,7.01773235,6.546930719,7.248993628,6.689467574,7.566679176,6.986103993,7.752574211,7.164362891
1999,1578.933536,-75.24053828,34513.5615,62.71434929,5.44167565,6.297147519,6.374943369,7.439926536,7.477843305,8.499120767,8.495233109,9.36485808,9.267584252,10.31989552,10.07434604,11.23210796,10.91258098,11.9488463,11.58303981,7.821464363,8.389263849,7.926768089,7.772507354,7.230191582,7.13126584,6.718873738,7.001280638,6.532509756,7.305762166,6.740990017,7.611093185,7.036460928,7.738596269,7.158633674
2000,1445.279324,-77.33638732,36334.90878,66.02390658,5.473368753,6.345198918,6.425147452,7.469884099,7.513057389,8.475891961,8.472768369,9.327606742,9.215188687,10.29799884,10.03501603,11.16418302,10.84073627,11.82884827,11.4571584,7.826316719,8.250180879,7.783871608,7.579405909,7.062881849,7.035053534,6.662080379,6.994658349,6.526741511,7.367775295,6.792866585,7.644570917,7.078775594,7.690536087,7.118956266
2001,1894.615169,-70.29029362,37133.24281,67.47455372,5.512707302,6.393891409,6.47446532,7.482604005,7.529051002,8.430294051,8.424452473,9.284791952,9.158586862,10.25945218,9.990460761,11.09173208,10.76606605,11.73523618,11.35721288,7.818400856,8.086138067,7.622589105,7.385293635,6.920957924,6.938558376,6.598682829,6.996176933,6.549363788,7.427932508,6.853553987,7.683157545,7.107186557,7.620729005,7.057807249
2002,2172.101877,-65.93898853,38023.16111,69.091618,5.559075436,6.446737715,6.528149809,7.490764142,7.54086765,8.383917508,8.373178233,9.264182219,9.120187059,10.23486463,9.961293526,11.01995042,10.68982489,11.66172955,11.27446107,7.776798735,7.883332597,7.431047605,7.206930782,6.804335534,6.850758766,6.540999832,7.024284477,6.586036464,7.482330782,6.904052834,7.704761151,7.121584336,7.49149586,6.945835882
2003,2425.851842,-61.95990241,39496.48588,71.76878604,5.610125923,6.498232084,6.581030166,7.492770598,7.546290751,8.341334528,8.323524476,9.259613211,9.09589505,10.21890671,9.940897696,10.94611091,10.61036158,11.60091673,11.20257039,7.704684381,7.662091214,7.229973806,7.049658619,6.709541748,6.773257253,6.49566196,7.081057561,6.633249865,7.531569202,6.945211728,7.705983826,7.122815377,7.312122235,6.789030643
2004,2691.278081,-57.7977191,41712.80107,75.79603675,5.661808217,6.541126823,6.626316496,7.486451375,7.542156656,8.308401321,8.281106351,9.261819856,9.079732783,10.20224696,9.918601168,10.87442888,10.5323094,11.53364869,11.12501863,7.605986834,7.448299559,7.04552099,6.914036117,6.629561244,6.717284251,6.471516118,7.158121585,6.685911418,7.578974498,6.98010024,7.674556231,7.099895162,7.114233237,6.614785441
2005,3002.136867,-52.92310212,44114.74778,80.16059718,5.711793442,6.572024256,6.660639529,7.472210276,7.528248397,8.289193701,8.249691207,9.266193209,9.068694129,10.17813345,9.887392358,10.81245769,10.46275617,11.43685934,11.02165199,7.484168625,7.256337329,6.891116283,6.795708188,6.559786464,6.695235613,6.471328294,7.242865282,6.738986888,7.622493835,7.009240757,7.59428985,7.035330024,6.94138779,6.462137756
2006,3328.882972,-47.79935404,46298.73144,84.1290985,5.778213283,6.61780477,6.709769933,7.475197861,7.528758613,8.295878567,8.241655798,9.271664847,9.06626503,10.13179576,9.839533226,10.75969389,10.40060417,11.31201102,10.8918319,7.322578999,7.069573639,6.74007771,6.681772634,6.486616011,6.718047941,6.472035458,7.260724114,6.763107385,7.589232333,7.000120454,7.467389461,6.924648667,6.876858815,6.407140159
2007,3567.836438,-44.05229373,47975.96768,87.17679264,5.8461781,6.653748771,6.750192714,7.46747294,7.517638762,8.308587289,8.238042501,9.274248124,9.064382604,10.07209352,9.776903881,10.71402559,10.34393623,11.14785925,10.72783457,7.140847015,6.906524095,6.623684971,6.594877724,6.428202086,6.763287339,6.492029438,7.267878673,6.781918099,7.567985855,6.995266756,7.330366044,6.801826331,6.862512365,6.397429862
2008,4249.019262,-33.37057745,48382.55845,87.91560586,5.913077419,6.6806586,6.781834306,7.455906879,7.501127494,8.325786017,8.238943314,9.27286329,9.059979946,10.00889481,9.708120305,10.66812626,10.286887,10.94875191,10.53350141,6.953127485,6.764589079,6.536090535,6.539334129,6.384155508,6.811500591,6.523622516,7.269991595,6.793270274,7.550071751,6.985386321,7.193834722,6.680703417,6.886884582,6.421688423
2009,4231.615798,-33.64348343,47099.98047,85.58504246,5.9755114,6.700024192,6.804686085,7.449872873,7.487873388,8.344806934,8.243640609,9.265864737,9.048843571,9.955037175,9.645192734,10.6055508,10.2149383,10.734373,10.32599236,6.778456609,6.640463166,6.464964966,6.51423636,6.356389199,6.846995744,6.55592275,7.272073905,6.798144717,7.519506505,6.956637569,7.079992108,6.582489991,6.919975626,6.452784122
2010,4633.590358,-27.34006817,48466.82338,88.06872307,6.030895926,6.712769999,6.818813202,7.454144772,7.482403991,8.363423898,8.250443446,9.252225261,9.028294989,9.91461438,9.592803722,10.51025131,10.11375213,10.53211199,10.12943812,6.629636151,6.535231983,6.402071747,6.511406033,6.34592425,6.868021428,6.581674686,7.277325061,6.799570966,7.46826947,6.905071867,7.006083641,6.521025925,6.920136313,6.45334586
2011,5200.55579,-18.44940965,49883.11398,90.64225475,6.08308502,6.725166648,6.829320033,7.472237131,7.487086189,8.380880611,8.260265365,9.221709795,8.996866197,9.870673499,9.545028756,10.38334068,9.987649059,10.35543178,9.956643556,6.505247922,6.452853149,6.34017846,6.526763117,6.352111712,6.934568262,6.62389479,7.337296217,6.846224706,7.401377294,6.861375002,6.917439652,6.454772309,6.877536779,6.419141905
2012,5682.045007,-10.89911475,51603.49726,93.76835107,6.129432781,6.730534725,6.830726482,7.496969489,7.496846755,8.396277033,8.271490713,9.180003195,8.952718601,9.839928109,9.506560938,10.23137181,9.838294142,10.19278876,9.795676944,6.41128535,6.395181462,6.289322485,6.566657299,6.381224431,7.007650213,6.669776019,7.400021374,6.900649521,7.291573521,6.781375286,6.846914773,6.399159757,6.846398631,6.394570011
2013,6056.330827,-5.02989022,53106.90977,96.50019134,6.168751888,6.733515065,6.827643482,7.525371707,7.510673054,8.407246734,8.280512643,9.134119765,8.90218355,9.810846961,9.467162721,10.06223729,9.673413017,10.04628064,9.648854249,6.340265041,6.360769832,6.251508122,6.625046381,6.426693094,7.083841125,6.718593877,7.450892776,6.949424119,7.153185819,6.675116712,6.787467855,6.348837343,6.82431112,6.378205055
2014,6377.09153,0,55032.958,100,6.199603779,6.740101935,6.826424778,7.552891086,7.526220692,8.41020771,8.281880767,9.09379707,8.854708112,9.764125858,9.410248952,9.89087138,9.506448293,9.913172681,9.514896963,6.280434516,6.348645673,6.231512649,6.694658848,6.479780775,7.160459921,6.771192688,7.468736519,6.972291367,7.012922001,6.563393473,6.732337042,6.299849562,6.801714317,6.36122832
